[Thu, 16 Feb 2017 22:13:19 GMT] 127.0.0.1 200 POST /backend/cuentas/save/ (w#0) (340ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Thu, 16 Feb 2017 22:37:00 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Thu, 16 Feb 2017 22:39:09 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Thu, 16 Feb 2017 22:40:20 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Thu, 16 Feb 2017 22:43:19 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (16ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Thu, 16 Feb 2017 22:45:48 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (16ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Thu, 16 Feb 2017 22:48:01 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (45ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Thu, 16 Feb 2017 22:50:05 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (41ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Thu, 16 Feb 2017 22:51:17 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (39ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 00:33:27 GMT] 127.0.0.1 200 POST /backend/auth/login/ (w#0) (56ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 00:33:27 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (3ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 00:33:27 GMT] 127.0.0.1 200 GET /backend/auth/renuevesession/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 00:33:35 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 00:33:37 GMT] 127.0.0.1 200 GET /backend/auth/terminatesession/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 13:43:27 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (1224ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 13:57:42 GMT] 127.0.0.1 200 POST /backend/cedeg/save/ (w#0) (85ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 15:30:26 GMT] 127.0.0.1 200 POST /backend/cuentas/select/ (w#0) (73ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 15:30:41 GMT] 127.0.0.1 200 POST /backend/cuentas/select/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 15:31:36 GMT] 127.0.0.1 200 POST /backend/cuentas/select/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 15:31:39 GMT] 127.0.0.1 200 POST /backend/cuentas/select/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Fri, 17 Feb 2017 15:31:41 GMT] 127.0.0.1 200 POST /backend/cuentas/select/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
